stable_id,mmsi,imo,flag_norm,vessel_type_norm,nav_status_norm,destination_norm,port_name_norm,locode_norm,timestamp_date,timestamp_full,latitude,longitude
235060989_2022-02-03T18-18-59_00-00_FIHKO_port_call,235060989,9357602,UNKNOWN,cargo ship,unknown,LUBECK,hanko,FIHKO,2022-02-03,2022-02-03T18:18:59+00:00,,
273358960_2022-02-03T19-02-36_00-00_LVLPX_port_call,273358960,9549621,UNKNOWN,cargo ship,unknown,RULED,liepaja,LVLPX,2022-02-03,2022-02-03T19:02:36+00:00,,
219358000_2022-02-04T20-16-19_00-00_SEGOT_port_call,219358000,9860142,UNKNOWN,cargo ship,unknown,GOT ZEE GOT,göteborg,SEGOT,2022-02-04,2022-02-04T20:16:19+00:00,,
276462000_2022-02-05T06-13-26_00-00_EEMUG_port_call,276462000,7004342,UNKNOWN,tanker,unknown,PALJASSAARE,muuga,EEMUG,2022-02-05,2022-02-05T06:13:26+00:00,,
636015171_2022-02-05T20-13-32_00-00_PLGDN_port_call,636015171,9593488,UNKNOWN,cargo ship,unknown,NL VLI,gdansk,PLGDN,2022-02-05,2022-02-05T20:13:32+00:00,,
246479000_2022-02-07T19-18-03_00-00_PLGDN_port_call,246479000,9545027,UNKNOWN,cargo ship,unknown,PLSZZ,gdansk,PLGDN,2022-02-07,2022-02-07T19:18:03+00:00,,
212575000_2022-02-08T09-03-11_00-00_FIKTK_port_call,212575000,9143788,UNKNOWN,cargo ship,unknown,LVLPX,kotka,FIKTK,2022-02-08,2022-02-08T09:03:11+00:00,,
266232000_2022-02-08T20-26-15_00-00_FIKEM_port_call,266232000,9334959,UNKNOWN,cargo ship,unknown,FIOUL,kemi,FIKEM,2022-02-08,2022-02-08T20:26:15+00:00,,
255806250_2022-02-09T14-40-57_00-00_FIMTY_port_call,255806250,9301598,UNKNOWN,cargo ship,unknown,RIGA,"pori, mantyluoto",FIMTY,2022-02-09,2022-02-09T14:40:57+00:00,,
209098000_2022-02-11T04-29-45_00-00_SEGOT_port_call,209098000,9514767,UNKNOWN,cargo ship,unknown,DEHAM VIA NOK,göteborg,SEGOT,2022-02-11,2022-02-11T04:29:45+00:00,,
